Title,Rating,Votes,Duration
1. Freaky Tales,6.3, (9.4K),1h 47m
2. Mahavatar Narsimha,9.3, (26K),2h 10m
3. Gladiator II,6.5, (267K),2h 28m
4. The Ministry of Ungentlemanly Warfare,6.8, (143K),2h 2m
5. Kingdom of the Planet of the Apes,6.8, (158K),2h 25m
6. Dune: Part Two,8.5, (656K),2h 46m
7. Deadpool & Wolverine,7.5, (519K),2h 8m
8. Kraven the Hunter,5.5, (69K),2h 7m
9. Fight or Flight,6.4, (17K),1h 42m
10. Carry-On,6.5, (177K),1h 59m
11. The Count of Monte-Cristo,7.6, (39K),2h 58m
12. Civil War,7.0, (248K),1h 49m
13. 40 Acres,6.5, (2.9K),1h 53m
14. Twisters,6.5, (181K),2h 2m
15. Sonic the Hedgehog 3,6.9, (69K),1h 50m
16. William Tell,5.7, (4.2K),2h 14m
17. The Beekeeper,6.3, (166K),1h 45m
18. The Fall Guy,6.8, (232K),2h 6m
19. Rebel Ridge,6.8, (94K),2h 11m
20. The Unholy Trinity,5.5, (2.8K),1h 35m
21. Road House,6.2, (173K),2h 1m
22. Furiosa: A Mad Max Saga,7.5, (297K),2h 28m
23. Relay,7.3, (182),1h 52m
24. Venom: The Last Dance,6.0, (136K),1h 50m
25. River of Blood,4.8, (2.3K),1h 26m
26. Land of Bad,6.6, (54K),1h 53m
27. Madame Web,4.1, (105K),1h 56m
28. Transformers One,7.6, (57K),1h 44m
29. Bad Boys: Ride or Die,6.5, (105K),1h 55m
30. Abigail,6.5, (102K),1h 49m
31. Godzilla x Kong: The New Empire,6.0, (126K),1h 55m
32. Dirty Angels,4.5, (4.7K),1h 44m
33. Borderlands,4.7, (52K),1h 41m
34. Argylle,5.6, (95K),2h 19m
35. Maharaja,8.4, (73K),2h 21m
36. The Crow,4.7, (38K),1h 51m
37. Drive-Away Dolls,5.4, (25K),1h 24m
38. Monkey Man,6.8, (95K),2h 1m
39. The Lord of the Rings: The War of the Rohirrim,6.3, (35K),2h 14m
40. Red One,6.3, (144K),2h 3m
41. Long Gone Heroes,5.1, (1.5K),1h 41m
42. Elevation,5.6, (26K),1h 31m
43. Kung Fu Panda 4,6.3, (72K),1h 34m
44. The Instigators,6.2, (40K),1h 41m
45. The Killer,5.7, (15K),2h 6m
46. Canary Black,5.4, (13K),1h 41m
47. Cloud,6.4, (2.2K),2h 4m
48. Damsel,6.1, (113K),1h 50m
49. Pushpa: The Rule - Part 2,6.1, (60K),3h 21m
50. Beverly Hills Cop: Axel F,6.4, (83K),1h 58m
