Title,Rating,Votes,Duration
1. Jurassic World: Rebirth,6.0, (103K),2h 13m
2. The Fantastic Four: First Steps,7.3, (113K),1h 54m
3. Superman,7.5, (204K),2h 9m
4. KPop Demon Hunters,7.7, (51K),1h 35m
5. Freaky Tales,6.3, (10K),1h 47m
6. How to Train Your Dragon,7.9, (83K),2h 5m
7. Thunderbolts*,7.2, (176K),2h 7m
8. The Bad Guys 2,7.2, (4.4K),1h 44m
10. Mission: Impossible - The Final Reckoning,7.4, (118K),2h 49m
11. Sketch,7.2, (1.4K),1h 33m
13. Jurassic Park,8.2, (1.1M),2h 7m
14. Mickey 17,6.8, (186K),2h 17m
15. Lilo & Stitch,6.8, (60K),1h 48m
16. Interstellar,8.7, (2.4M),2h 49m
17. Ne Zha II,8.1, (14K),2h 23m
18. Gladiator II,6.5, (268K),2h 28m
19. A Minecraft Movie,5.6, (131K),1h 41m
20. Red Sonja,5.1, (477),1h 50m
21. No Time to Die,7.3, (470K),2h 43m
22. Inception,8.8, (2.7M),2h 28m
23. War of the Worlds,6.6, (495K),1h 57m
24. Fantastic Four,5.7, (366K),1h 46m
25. Apollo 13,7.7, (329K),2h 20m
27. The Lord of the Rings: The Fellowship of the Ring,8.9, (2.1M),2h 58m
28. Gladiator,8.5, (1.8M),2h 35m
30. The Gorge,6.7, (139K),2h 7m
31. Inglourious Basterds,8.4, (1.7M),2h 33m
32. The Bad Guys,6.9, (71K),1h 40m
33. Harry Potter and the Sorcerer's Stone,7.7, (914K),2h 32m
34. Kingdom of the Planet of the Apes,6.8, (158K),2h 25m
35. Jurassic World: Dominion,5.6, (234K),2h 27m
36. The Old Guard 2,5.1, (36K),1h 47m
37. Gods of Egypt,5.4, (132K),2h 7m
38. Dune: Part Two,8.5, (657K),2h 46m
39. Jaws,8.1, (710K),2h 4m
40. Back to the Future,8.5, (1.4M),1h 56m
41. Snow White,2.1, (385K),1h 49m
42. Barbie,6.8, (621K),1h 54m
43. Jurassic World,6.9, (713K),2h 4m
44. Spider-Man: No Way Home,8.2, (970K),2h 28m
45. Fountain of Youth,5.7, (41K),2h 5m
46. Captain America: Brave New World,5.6, (158K),1h 58m
47. Demon Slayer -Kimetsu no Yaiba- The Movie: Infinity Castle,8.9, (6.6K),2h 35m
48. The Hunger Games,7.2, (1.1M),2h 22m
49. Avengers: Endgame,8.4, (1.4M),3h 1m
50. The 5th Wave,5.2, (123K),1h 52m
51. Deadpool & Wolverine,7.5, (520K),2h 8m
53. Fantastic Four,4.3, (188K),1h 40m
54. The Wild Robot,8.2, (192K),1h 42m
55. The Lost World: Jurassic Park,6.6, (467K),2h 9m
56. Pirates of the Caribbean: The Curse of the Black Pearl,8.1, (1.3M),2h 23m
57. Dune: Part One,8.0, (972K),2h 35m
59. Kraven the Hunter,5.5, (70K),2h 7m
60. Man of Steel,7.1, (849K),2h 23m
61. Ne Zha,7.4, (16K),1h 50m
62. Predator: Killer of Killers,7.5, (42K),1h 25m
63. Guardians of the Galaxy Vol. 3,7.9, (442K),2h 30m
64. Spider-Man,7.4, (934K),2h 1m
66. Megamind,7.3, (314K),1h 35m
67. Kingdom of Heaven,7.3, (339K),2h 24m
68. The Count of Monte-Cristo,7.6, (40K),2h 58m
69. Spider-Man: Across the Spider-Verse,8.5, (474K),2h 20m
70. Rogue One: A Star Wars Story,7.8, (734K),2h 13m
72. Avengers: Infinity War,8.4, (1.3M),2h 29m
73. How to Train Your Dragon,8.1, (862K),1h 38m
74. The Parent Trap,6.7, (167K),2h 8m
75. Avatar: The Way of Water,7.5, (543K),3h 12m
76. Smurfs,4.3, (3.6K),1h 29m
77. Guardians of the Galaxy,8.0, (1.3M),2h 1m
78. Jurassic World: Fallen Kingdom,6.1, (369K),2h 8m
80. Jurassic Park III,6.0, (360K),1h 32m
81. The Lord of the Rings: The Return of the King,9.0, (2.1M),3h 21m
82. Twisters,6.5, (181K),2h 2m
83. Raiders of the Lost Ark,8.4, (1.1M),1h 55m
84. The Goonies,7.7, (317K),1h 54m
85. Die Hard with a Vengeance,7.6, (423K),2h 8m
86. Sonic the Hedgehog 3,6.9, (69K),1h 50m
87. Mission: Impossible - Dead Reckoning Part One,7.6, (307K),2h 43m
88. Spirited Away,8.6, (925K),2h 4m
89. Batman v Superman: Dawn of Justice,6.4, (778K),2h 31m
"90. The Good, the Bad and the Ugly",8.8, (865K),2h 58m
91. Journey 2: The Mysterious Island,5.7, (118K),1h 34m
92. The Hunger Games: The Ballad of Songbirds & Snakes,6.6, (167K),2h 37m
93. The Northman,7.0, (285K),2h 17m
94. The Incredibles,8.0, (867K),1h 55m
95. The Princess Bride,8.0, (472K),1h 38m
96. The Suicide Squad,7.2, (440K),2h 12m
97. Avatar,7.9, (1.4M),2h 42m
98. Everything Everywhere All at Once,7.8, (589K),2h 19m
99. The Electric State,5.9, (74K),2h 5m
100. Flow,7.9, (91K),1h 25m
101. Stand by Me,8.1, (470K),1h 29m
102. Star Wars: Episode IV - A New Hope,8.6, (1.5M),2h 1m
103. Transformers,7.1, (702K),2h 24m
104. Zombies 4: Dawn of the Vampires,5.6, (2.6K),1h 26m
105. Zootopia,8.0, (589K),1h 48m
106. Elio,6.9, (13K),1h 38m
107. Terminator 2: Judgment Day,8.6, (1.2M),2h 17m
108. Journey to the Center of the Earth,5.8, (137K),1h 33m
109. Fantastic Four: Rise of the Silver Surfer,5.6, (293K),1h 32m
110. Spider-Man: Homecoming,7.4, (768K),2h 13m
111. Spider-Man: Into the Spider-Verse,8.4, (746K),1h 57m
112. The Martian,8.0, (977K),2h 24m
113. The Unholy Trinity,5.5, (2.9K),1h 35m
114. Indiana Jones and the Last Crusade,8.2, (846K),2h 7m
115. Aliens,8.4, (816K),2h 17m
116. Troy,7.3, (599K),2h 43m
117. Dolittle,5.6, (76K),1h 41m
118. Ice Road: Vengeance,4.8, (5.7K),1h 52m
119. Iron Man,7.9, (1.2M),2h 6m
120. 2001: A Space Odyssey,8.3, (761K),2h 29m
121. Idiocracy,6.5, (204K),1h 24m
122. Back to the Future Part III,7.5, (505K),1h 58m
123. The Lord of the Rings: The Two Towers,8.8, (1.9M),2h 59m
124. The Tomorrow War,6.6, (245K),2h 18m
126. Edge of Tomorrow,7.9, (782K),1h 53m
127. The Flash,6.6, (239K),2h 24m
128. Mad Max: Fury Road,8.1, (1.2M),2h
129. Furiosa: A Mad Max Saga,7.5, (297K),2h 28m
130. The Mummy,7.1, (487K),2h 4m
131. Cars,7.3, (512K),1h 56m
132. Prometheus,7.0, (682K),2h 4m
133. Uncharted,6.3, (288K),1h 56m
134. Independence Day,7.0, (633K),2h 25m
135. The Fifth Element,7.6, (531K),2h 6m
136. Harry Potter and the Goblet of Fire,7.7, (726K),2h 37m
137. Avengers: Age of Ultron,7.3, (971K),2h 21m
138. The Lion King,8.5, (1.2M),1h 28m
140. Wyatt Earp,6.7, (58K),3h 11m
141. Prey,7.1, (256K),1h 40m
142. Almost Famous,7.9, (307K),2h 2m
143. Tommy Boy,7.1, (102K),1h 37m
144. Game Night,6.9, (268K),1h 40m
145. The Terminator,8.1, (975K),1h 47m
146. Harry Potter and the Deathly Hallows: Part 2,8.1, (1M),2h 10m
147. Annihilation,6.8, (384K),1h 55m
