Title,Rating,Votes,Duration
1. Happy Gilmore 2,6.2, (81K),1h 54m
2. The Naked Gun,7.0, (24K),1h 25m
3. Freakier Friday,7.0, (6.4K),1h 50m
4. The Pickup,5.4, (7.5K),1h 34m
5. My Oxford Year,6.0, (14K),1h 52m
6. KPop Demon Hunters,7.7, (50K),1h 35m
7. Freaky Tales,6.3, (10K),1h 47m
8. Materialists,6.4, (33K),1h 56m
9. Happy Gilmore,7.0, (289K),1h 32m
10. Freaky Friday,6.4, (166K),1h 37m
11. How to Train Your Dragon,7.9, (83K),2h 5m
12. Good Boy,7.0, (245),1h 12m
13. The Bad Guys 2,7.2, (4.3K),1h 44m
14. The Naked Gun: From the Files of Police Squad!,7.6, (207K),1h 25m
"15. Sorry, Baby",7.2, (4.1K),1h 43m
16. Eddington,7.0, (11K),2h 28m
17. Death of a Unicorn,5.9, (35K),1h 47m
18. The Phoenician Scheme,6.7, (39K),1h 41m
20. Heads of State,6.4, (50K),1h 56m
21. Sketch,7.2, (1.3K),1h 33m
22. If I Had Legs I'd Kick You,7.1, (378),1h 53m
23. Mickey 17,6.8, (185K),2h 17m
24. Dead Poets Society,8.1, (604K),2h 8m
25. Nobody 2,7.1, (207),1h 29m
26. Lilo & Stitch,6.8, (60K),1h 48m
27. Anora,7.4, (218K),2h 19m
29. A Minecraft Movie,5.6, (131K),1h 41m
30. Freelance,5.6, (27K),1h 48m
31. The Addams Family,7.0, (193K),1h 39m
33. Once Upon a Time... in Hollywood,7.6, (922K),2h 41m
34. Honey Don't!,5.9, (279),1h 28m
36. The Bad Guys,6.9, (71K),1h 40m
37. Nonnas,6.8, (36K),1h 51m
39. The Ministry of Ungentlemanly Warfare,6.8, (143K),2h 2m
40. The Life List,6.8, (32K),2h 3m
41. Deep Cover,6.7, (32K),1h 40m
42. The Wolf of Wall Street,8.2, (1.7M),3h
43. Back to the Future,8.5, (1.4M),1h 56m
44. The Ugly Stepsister,7.0, (18K),1h 49m
45. Barbie,6.8, (620K),1h 54m
46. Friendship,6.9, (19K),1h 40m
47. Naked Gun 33 1/3: The Final Insult,6.5, (121K),1h 23m
48. The Naked Gun 2½: The Smell of Fear,6.9, (133K),1h 25m
49. Borderline,5.4, (5.5K),1h 34m
50. Dazed and Confused,7.6, (211K),1h 43m
51. Son of Sardaar 2,6.9, (36K),2h 25m
52. Novocaine,6.5, (63K),1h 50m
53. American Pie,7.0, (456K),1h 35m
54. Deadpool & Wolverine,7.5, (520K),2h 8m
55. My Mother's Wedding,5.7, (295),1h 35m
56. Americana,5.4, (478),1h 50m
57. Wet Hot American Summer,6.5, (63K),1h 37m
58. The Toxic Avenger,5.6, (1.1K),1h 42m
59. Anyone But You,6.1, (153K),1h 43m
61. Airplane!,7.7, (278K),1h 28m
62. Fight or Flight,6.4, (17K),1h 42m
63. The Devil Wears Prada,7.0, (507K),1h 49m
64. Guardians of the Galaxy Vol. 3,7.9, (442K),2h 30m
65. Megamind,7.3, (314K),1h 35m
66. Bullet Train,7.3, (503K),2h 7m
67. Long Distance,5.7, (5.1K),1h 26m
68. The Parent Trap,6.7, (167K),2h 8m
69. Smurfs,4.3, (3.5K),1h 29m
70. The Truman Show,8.2, (1.3M),1h 43m
71. Guardians of the Galaxy,8.0, (1.3M),2h 1m
72. After the Sunset,6.2, (52K),1h 37m
73. Poor Things,7.8, (350K),2h 21m
74. The Grand Budapest Hotel,8.1, (937K),1h 39m
75. Grown Ups,6.0, (301K),1h 42m
76. Knives Out,7.9, (827K),2h 10m
77. American Graffiti,7.4, (103K),1h 50m
78. The Goonies,7.7, (317K),1h 54m
79. Sonic the Hedgehog 3,6.9, (69K),1h 50m
80. Mean Girls,7.1, (468K),1h 37m
