Title,Rating,Votes,Duration
1. The Naked Gun,7.0, (25K),1h 25m
2. Freaky Tales,6.3, (10K),1h 47m
3. Thunderbolts*,7.2, (176K),2h 7m
4. The Bad Guys 2,7.2, (4.4K),1h 44m
5. The Naked Gun: From the Files of Police Squad!,7.6, (207K),1h 25m
6. Stolen: Heist of the Century,6.6, (864),1h 36m
7. The Phoenician Scheme,6.7, (39K),1h 41m
9. Highest 2 Lowest,6.9, (426),2h 13m
10. Nobody,7.4, (361K),1h 32m
11. The Departed,8.5, (1.5M),2h 31m
12. Nobody 2,6.9, (554),1h 29m
13. The Accountant 2,6.7, (101K),2h 12m
14. The Dark Knight,9.1, (3.1M),2h 32m
15. The Godfather,9.2, (2.2M),2h 55m
16. Se7en,8.6, (1.9M),2h 7m
17. Honey Don't!,5.9, (291),1h 28m
18. Pulp Fiction,8.8, (2.4M),2h 34m
20. The Bad Guys,6.9, (71K),1h 40m
21. No Country for Old Men,8.2, (1.1M),2h 2m
22. Fight Club,8.8, (2.5M),2h 19m
23. Goodfellas,8.7, (1.3M),2h 25m
24. Prisoners,8.2, (888K),2h 33m
25. Deep Cover,6.7, (32K),1h 40m
26. The Wolf of Wall Street,8.2, (1.7M),3h
27. Longlegs,6.6, (199K),1h 41m
28. Promising Young Woman,7.5, (228K),1h 53m
29. The Batman,7.8, (888K),2h 56m
30. Naked Gun 33 1/3: The Final Insult,6.5, (121K),1h 23m
31. The Usual Suspects,8.5, (1.2M),1h 46m
32. The Naked Gun 2½: The Smell of Fear,6.9, (133K),1h 25m
33. The Silence of the Lambs,8.6, (1.7M),1h 58m
35. Heat,8.3, (769K),2h 50m
36. 12 Angry Men,9.0, (943K),1h 36m
37. Novocaine,6.5, (63K),1h 50m
38. Havoc,5.7, (59K),1h 47m
39. Americana,5.4, (487),1h 50m
40. The Green Mile,8.6, (1.5M),3h 9m
41. The Order,6.8, (53K),1h 56m
43. City of God,8.6, (846K),2h 10m
44. Knock Knock,4.9, (112K),1h 39m
45. Juror #2,7.0, (111K),1h 54m
46. Memories of Murder,8.1, (248K),2h 12m
47. Megamind,7.3, (314K),1h 35m
48. John Wick,7.5, (796K),1h 41m
49. Carry-On,6.5, (177K),1h 59m
50. The Dark Knight Rises,8.4, (1.9M),2h 44m
51. The Accountant,7.3, (381K),2h 8m
52. Batman Begins,8.2, (1.7M),2h 20m
53. Sicario,7.7, (515K),2h 1m
54. Zodiac,7.7, (645K),2h 37m
55. The Town,7.5, (436K),2h 5m
56. After the Sunset,6.2, (52K),1h 37m
57. Knives Out,7.9, (827K),2h 10m
59. The Godfather Part II,9.0, (1.4M),3h 22m
60. A Time to Kill,7.5, (193K),2h 29m
61. Sovereign,6.5, (3.6K),1h 40m
62. Killers of the Flower Moon,7.6, (288K),3h 26m
63. The Beekeeper,6.3, (166K),1h 45m
64. Scarface,8.3, (979K),2h 50m
65. Rebel Ridge,6.8, (94K),2h 11m
66. Léon: The Professional,8.5, (1.3M),1h 50m
67. Riff Raff,5.7, (6K),1h 43m
68. Snatch,8.2, (954K),1h 42m
69. Late Shift,7.9, (2.4K),1h 32m
70. John Wick: Chapter 4,7.6, (390K),2h 49m
71. The Big Lebowski,8.1, (898K),1h 57m
72. Neighborhood Watch,6.1, (5.9K),1h 32m
73. Blue Velvet,7.7, (235K),2h
74. Zootopia,8.0, (589K),1h 48m
75. Reservoir Dogs,8.3, (1.1M),1h 39m
76. Catch Me If You Can,8.1, (1.2M),2h 21m
77. Now You See Me,7.2, (746K),1h 55m
78. Megan Is Missing,4.6, (19K),1h 25m
79. Baby Driver,7.5, (660K),1h 53m
80. The Gentlemen,7.8, (439K),1h 53m
81. The Mask,7.0, (453K),1h 41m
82. Taxi Driver,8.2, (991K),1h 54m
83. Casino,8.2, (599K),2h 58m
84. The Unholy Trinity,5.5, (2.9K),1h 35m
85. The Alto Knights,5.9, (15K),2h 3m
86. Joker,8.3, (1.6M),2h 2m
87. American Psycho,7.6, (794K),1h 42m
89. Primal Fear,7.7, (267K),2h 9m
90. Kill Bill: Vol. 1,8.2, (1.3M),1h 51m
91. We're the Millers,7.0, (511K),1h 50m
92. Uncut Gems,7.4, (339K),2h 15m
93. American History X,8.5, (1.2M),1h 59m
94. RoboCop,7.6, (300K),1h 42m
95. Irreversible,7.3, (158K),1h 37m
96. Wrath of Man,7.1, (228K),1h 59m
97. Night Always Comes,6.7, (13),1h 48m
98. Point Break,7.3, (217K),2h 2m
"99. Three Billboards Outside Ebbing, Missouri",8.1, (589K),1h 55m
100. Kuberaa,6.4, (6.9K),3h 1m
101. Hostile Takeover,4.7, (237),1h 29m
102. The Equalizer,7.3, (451K),2h 12m
103. Reptile,6.8, (105K),2h 14m
104. Flight Risk,5.2, (32K),1h 31m
105. Fargo,8.1, (763K),1h 38m
106. King Ivory,6.2, (342),2h 10m
107. The Hateful Eight,7.8, (700K),2h 48m
108. Wolfs,6.5, (92K),1h 48m
109. Wind River,7.7, (300K),1h 47m
110. The Fugitive,7.8, (337K),2h 10m
111. Trap,5.8, (148K),1h 45m
112. Cape Fear,7.3, (232K),2h 8m
113. Game Night,6.9, (268K),1h 40m
114. The Guilty,6.3, (166K),1h 30m
115. Glass Onion,7.1, (483K),2h 19m
116. The Killer,6.7, (214K),1h 58m
117. Collateral,7.5, (455K),2h
118. Woman of the Hour,6.6, (67K),1h 35m
119. The Irishman,7.8, (458K),3h 29m
120. A Clockwork Orange,8.2, (918K),2h 16m
121. Minority Report,7.6, (608K),2h 25m
122. MaXXXine,6.2, (77K),1h 43m
123. Nightcrawler,7.8, (645K),1h 57m
124. Ocean's Eleven,7.7, (654K),1h 56m
125. The Dry,6.8, (38K),1h 57m
126. L.A. Confidential,8.2, (646K),2h 18m
127. The Invisible Guest,8.0, (205K),1h 46m
128. Taken,7.7, (660K),1h 30m
129. Hit Man,6.8, (120K),1h 55m
130. Trainspotting,8.1, (755K),1h 33m
131. The Italian Job,7.0, (401K),1h 51m
132. Jolt,5.6, (38K),1h 31m
133. Mystic River,7.9, (508K),2h 18m
134. White Chicks,5.9, (182K),1h 49m
135. Spotlight,8.1, (523K),2h 9m
137. The Girl with the Dragon Tattoo,7.8, (518K),2h 38m
138. Anatomy of a Fall,7.6, (180K),2h 31m
139. The Lincoln Lawyer,7.3, (264K),1h 58m
140. Burn After Reading,7.0, (367K),1h 36m
141. Once Upon a Time in America,8.3, (399K),3h 49m
142. Rush Hour,7.0, (316K),1h 38m
143. West Side Story,7.1, (103K),2h 36m
144. Sin City,8.0, (811K),2h 4m
146. Girl in the Basement,6.3, (17K),1h 28m
147. Inside,6.3, (684),1h 44m
148. Hell or High Water,7.6, (268K),1h 42m
149. Deep Water,5.5, (67K),1h 55m
150. Den of Thieves: Pantera,6.3, (37K),2h 24m
151. American Gangster,7.8, (475K),2h 37m
152. True Romance,7.9, (255K),1h 59m
153. Another Simple Favor,5.3, (27K),2h
154. Papillon,7.2, (93K),2h 13m
155. 21 Jump Street,7.2, (628K),1h 49m
156. The Fast and the Furious,6.8, (443K),1h 46m
157. Blood Brothers: Bara Naga,7.4, (1.1K),2h 9m
158. A Widow's Game,6.2, (6.3K),2h 2m
159. Bad Boys: Ride or Die,6.5, (105K),1h 55m
160. Abigail,6.5, (103K),1h 49m
"161. Lock, Stock and Two Smoking Barrels",8.1, (639K),1h 47m
162. John Wick: Chapter 2,7.4, (551K),2h 2m
163. Wanted,6.7, (422K),1h 50m
164. Training Day,7.8, (501K),2h 2m
165. American Hustle,7.2, (512K),2h 18m
166. The Nice Guys,7.4, (400K),1h 56m
167. The Bikeriders,6.6, (71K),1h 56m
168. The Outsiders,7.0, (106K),1h 31m
169. The Equalizer 3,6.8, (151K),1h 49m
170. The Godfather Part III,7.6, (443K),2h 42m
171. Killer Elite,6.4, (139K),1h 56m
172. Blow,7.5, (284K),2h 4m
173. From Dusk Till Dawn,7.2, (359K),1h 48m
174. Cure,7.5, (32K),1h 51m
175. Now You See Me 2,6.4, (343K),2h 9m
176. Lethal Weapon,7.6, (289K),1h 49m
177. Fantastic Mr. Fox,7.9, (291K),1h 27m
178. Fast X,5.7, (139K),2h 21m
179. Gone Baby Gone,7.6, (304K),1h 54m
180. The Unbearable Weight of Massive Talent,7.0, (173K),1h 47m
181. John Wick: Chapter 3 - Parabellum,7.4, (462K),2h 10m
182. A Bronx Tale,7.8, (176K),2h 1m
183. American Made,7.1, (224K),1h 55m
184. Perfect Blue,8.0, (111K),1h 21m
185. Con Air,6.9, (333K),1h 55m
186. The Longest Yard,6.4, (205K),1h 53m
187. El Camino,7.3, (322K),2h 2m
188. The Devil All the Time,7.1, (163K),2h 18m
189. The Other Guys,6.7, (302K),1h 47m
190. Gangs of New York,7.5, (492K),2h 47m
191. Blind Spot,5.8, (700),1h 31m
192. The Untouchables,7.8, (346K),1h 59m
193. Kick-Ass,7.6, (612K),1h 57m
194. Sleeping Dogs,6.2, (23K),1h 50m
195. Mr. & Mrs. Smith,6.5, (574K),2h
196. War Dogs,7.1, (283K),1h 54m
197. In the Shadow of the Moon,6.2, (65K),1h 55m
198. The Rainmaker,7.2, (88K),2h 15m
199. Legend,6.9, (217K),2h 12m
200. A Most Wanted Man,6.7, (83K),2h 2m
201. The Girl with the Needle,7.5, (16K),2h 3m
202. Man on Fire,7.7, (406K),2h 26m
203. Sicario: Day of the Soldado,7.1, (183K),2h 2m
204. Jackie Brown,7.5, (393K),2h 34m
206. Maalik,6.8, (9K),2h 29m
207. Sabotage,5.7, (68K),1h 49m
208. Animal,6.1, (109K),3h 24m
209. Clue,7.3, (118K),1h 34m
210. The Pale Blue Eye,6.6, (135K),2h 8m
211. The Equalizer 2,6.7, (220K),2h 1m
212. In Bruges,7.9, (483K),1h 47m
213. Red Rooms,7.1, (17K),1h 58m
214. Inferno,6.2, (198K),2h 1m
215. Den of Thieves,7.0, (147K),2h 20m
217. The Crow,7.5, (225K),1h 42m
218. My Cousin Vinny,7.6, (152K),2h
219. La haine,8.1, (216K),1h 38m
220. A Simple Favor,6.7, (186K),1h 57m
221. The Thicket,5.8, (4.4K),1h 48m
222. Red Dragon,7.2, (305K),2h 4m
223. The Blues Brothers,7.9, (224K),2h 13m
"224. O Brother, Where Art Thou?",7.7, (344K),1h 47m
225. In the Land of Saints and Sinners,6.4, (28K),1h 46m
226. The Talented Mr. Ripley,7.4, (264K),2h 19m
227. Holland,5.0, (15K),1h 50m
228. Law Abiding Citizen,7.4, (337K),1h 49m
229. Inside Man,7.6, (416K),2h 9m
230. Lurker,7.2, (246),1h 40m
231. Murder Mystery,6.1, (183K),1h 37m
232. Weekend at Bernie's,6.4, (66K),1h 37m
235. High and Low,8.4, (63K),2h 23m
236. The Gambler,6.0, (76K),1h 51m
237. Sleepers,7.5, (247K),2h 27m
238. Despicable Me,7.6, (616K),1h 35m
239. Logan Lucky,7.0, (173K),1h 58m
240. Crash,7.7, (457K),1h 52m
241. Maharaja,8.4, (73K),2h 21m
242. Disturbia,6.8, (268K),1h 45m
243. The Fast and the Furious: Tokyo Drift,6.1, (320K),1h 44m
244. Ghost in the Shell,6.3, (236K),1h 47m
245. Under the Silver Lake,6.5, (57K),2h 19m
246. The Judge,7.4, (215K),2h 21m
247. The Weekend Away,5.7, (34K),1h 29m
248. Slumdog Millionaire,8.0, (899K),2h
249. Falling Down,7.6, (219K),1h 53m
250. Raid 2,6.7, (31K),2h 25m
251. The Unforgivable,7.1, (125K),1h 52m
252. After Hours,7.6, (90K),1h 37m
