Rating,Genre,Movie,Voting_counts,Total_hours
6.3,Action,Freaky Tales,9400,1.7833333333333332
9.3,Action,Mahavatar Narsimha,26000,2.1666666666666665
6.5,Action,Gladiator II,267000,2.466666666666667
6.8,Action,The Ministry of Ungentlemanly Warfare,143000,2.033333333333333
6.8,Action,Kingdom of the Planet of the Apes,158000,2.4166666666666665
8.5,Action,Dune: Part Two,656000,2.7666666666666666
7.5,Action,Deadpool & Wolverine,519000,2.1333333333333333
5.5,Action,Kraven the Hunter,69000,2.1166666666666667
6.4,Action,Fight or Flight,17000,1.7
6.5,Action,Carry-On,177000,1.9833333333333334
7.6,Action,The Count of Monte-Cristo,39000,2.966666666666667
7.0,Action,Civil War,248000,1.8166666666666667
6.5,Action,40 Acres,2900,1.8833333333333333
6.5,Action,Twisters,181000,2.033333333333333
6.9,Action,Sonic the Hedgehog 3,69000,1.8333333333333335
5.7,Action,William Tell,4200,2.2333333333333334
6.3,Action,The Beekeeper,166000,1.75
6.8,Action,The Fall Guy,232000,2.1
6.8,Action,Rebel Ridge,94000,2.183333333333333
5.5,Action,The Unholy Trinity,2800,1.5833333333333335
6.2,Action,Road House,173000,2.0166666666666666
7.5,Action,Furiosa: A Mad Max Saga,297000,2.466666666666667
7.3,Action,Relay,182,1.8666666666666667
6.0,Action,Venom: The Last Dance,136000,1.8333333333333335
4.8,Action,River of Blood,2300,1.4333333333333333
6.6,Action,Land of Bad,54000,1.8833333333333333
4.1,Action,Madame Web,105000,1.9333333333333333
7.6,Action,Transformers One,57000,1.7333333333333334
6.5,Action,Bad Boys: Ride or Die,105000,1.9166666666666665
6.5,Action,Abigail,102000,1.8166666666666667
6.0,Action,Godzilla x Kong: The New Empire,126000,1.9166666666666665
4.5,Action,Dirty Angels,4700,1.7333333333333334
4.7,Action,Borderlands,52000,1.6833333333333333
5.6,Action,Argylle,95000,2.3166666666666664
8.4,Action,Maharaja,73000,2.35
4.7,Action,The Crow,38000,1.85
5.4,Action,Drive-Away Dolls,25000,1.4
6.8,Action,Monkey Man,95000,2.0166666666666666
6.3,Action,The Lord of the Rings: The War of the Rohirrim,35000,2.2333333333333334
6.3,Action,Red One,144000,2.05
5.1,Action,Long Gone Heroes,1500,1.6833333333333333
5.6,Action,Elevation,26000,1.5166666666666666
6.3,Action,Kung Fu Panda 4,72000,1.5666666666666667
6.2,Action,The Instigators,40000,1.6833333333333333
5.7,Action,The Killer,15000,2.1
5.4,Action,Canary Black,13000,1.6833333333333333
6.4,Action,Cloud,2200,2.066666666666667
6.1,Action,Damsel,113000,1.8333333333333335
6.1,Action,Pushpa: The Rule - Part 2,60000,3.35
6.4,Action,Beverly Hills Cop: Axel F,83000,1.9666666666666668
6.0,adventure,Jurassic World: Rebirth,103000,2.216666666666667
7.3,adventure,The Fantastic Four: First Steps,113000,1.9
7.5,adventure,Superman,204000,2.15
7.7,adventure,KPop Demon Hunters,51000,1.5833333333333335
7.9,adventure,How to Train Your Dragon,83000,2.0833333333333335
7.2,adventure,Thunderbolts*,176000,2.1166666666666667
7.2,adventure,The Bad Guys 2,4400,1.7333333333333334
7.4,adventure,Mission: Impossible - The Final Reckoning,118000,2.8166666666666664
7.2,adventure,Sketch,1400,1.55
8.2,adventure,Jurassic Park,1100000,2.1166666666666667
6.8,adventure,Mickey 17,186000,2.283333333333333
6.8,adventure,Lilo & Stitch,60000,1.8
8.7,adventure,Interstellar,2400000,2.8166666666666664
8.1,adventure,Ne Zha II,14000,2.3833333333333333
5.6,adventure,A Minecraft Movie,131000,1.6833333333333333
5.1,adventure,Red Sonja,477,1.8333333333333335
7.3,adventure,No Time to Die,470000,2.716666666666667
8.8,adventure,Inception,2700000,2.466666666666667
6.6,adventure,War of the Worlds,495000,1.95
5.7,adventure,Fantastic Four,366000,1.7666666666666666
7.7,adventure,Apollo 13,329000,2.3333333333333335
8.9,adventure,The Lord of the Rings: The Fellowship of the Ring,2100000,2.966666666666667
8.5,adventure,Gladiator,1800000,2.5833333333333335
6.7,adventure,The Gorge,139000,2.1166666666666667
8.4,adventure,Inglourious Basterds,1700000,2.55
6.9,adventure,The Bad Guys,71000,1.6666666666666665
7.7,adventure,Harry Potter and the Sorcerer's Stone,914000,2.533333333333333
5.6,adventure,Jurassic World: Dominion,234000,2.45
5.1,adventure,The Old Guard 2,36000,1.7833333333333332
5.4,adventure,Gods of Egypt,132000,2.1166666666666667
8.1,adventure,Jaws,710000,2.066666666666667
8.5,adventure,Back to the Future,1400000,1.9333333333333333
