Title,Rating,Votes,Duration
1. Happy Gilmore 2,6.2, (81K),1h 54m
2. F1: The Movie,7.9, (144K),2h 35m
3. Happy Gilmore,7.0, (290K),1h 32m
5. Karate Kid: Legends,6.3, (27K),1h 34m
6. The Iron Claw,7.6, (109K),2h 12m
7. Sitaare Zameen Par,6.9, (29K),2h 35m
8. Ford v Ferrari,8.1, (537K),2h 32m
9. Bring It On,6.2, (111K),1h 38m
10. Coach Carter,7.3, (183K),2h 16m
11. The Sandlot,7.8, (111K),1h 41m
12. Rush,8.1, (542K),2h 3m
13. Cars,7.3, (512K),1h 56m
14. Radio,6.9, (46K),1h 49m
15. Varsity Blues,6.5, (51K),1h 46m
16. Challengers,7.0, (162K),2h 11m
17. Moneyball,7.6, (493K),2h 13m
18. Unbroken,7.2, (193K),2h 17m
20. Rocky,8.1, (668K),2h
21. Creed,7.6, (325K),2h 13m
22. The Karate Kid,7.3, (263K),2h 6m
23. Hustle,7.3, (158K),1h 57m
24. The Waterboy,6.2, (188K),1h 30m
25. Warrior,8.1, (519K),2h 20m
26. Inside Out 2,7.5, (228K),1h 36m
27. The Longest Yard,6.4, (205K),1h 53m
28. Dodgeball: A True Underdog Story,6.7, (278K),1h 32m
29. Jerry Maguire,7.3, (302K),2h 19m
30. Talladega Nights: The Ballad of Ricky Bobby,6.6, (209K),1h 48m
31. Million Dollar Baby,8.1, (752K),2h 12m
32. Remember the Titans,7.8, (243K),1h 53m
33. Gran Turismo,7.1, (127K),2h 14m
34. 17 Again,6.4, (227K),1h 42m
35. Southpaw,7.3, (271K),2h 4m
36. Back to School,6.7, (38K),1h 36m
37. Raging Bull,8.1, (399K),2h 9m
38. Real Steel,7.1, (373K),2h 7m
39. Field of Dreams,7.5, (136K),1h 47m
40. Air,7.4, (187K),1h 51m
41. The Replacements,6.6, (73K),1h 58m
42. She's the Man,6.4, (187K),1h 45m
44. Caddyshack,7.2, (132K),1h 38m
45. Waves,7.5, (36K),2h 15m
46. The Karate Kid,6.3, (220K),2h 20m
47. Wreck-It Ralph,7.7, (484K),1h 41m
48. The Blind Side,7.6, (378K),2h 9m
49. Major League,7.2, (81K),1h 47m
50. Creed III,6.7, (102K),1h 56m
51. The Fighter,7.8, (401K),1h 56m
52. Dangal,8.3, (230K),2h 41m
53. Over the Top,5.8, (63K),1h 33m
54. Kicking & Screaming,5.6, (42K),1h 35m
55. Cars 2,6.2, (242K),1h 46m
56. Rocky Balboa,7.1, (239K),1h 42m
57. Cars 3,6.7, (140K),1h 42m
58. A League of Their Own,7.4, (127K),2h 8m
59. Rocky IV,6.9, (238K),1h 31m
60. The Basketball Diaries,7.3, (128K),1h 42m
61. Creed II,7.1, (165K),2h 10m
62. Ferrari,6.4, (64K),2h 10m
63. Friday Night Lights,7.2, (69K),1h 58m
64. The World's Fastest Indian,7.8, (62K),2h 7m
65. Days of Thunder,6.1, (102K),1h 47m
66. Blades of Glory,6.3, (183K),1h 33m
67. The Cannonball Run,6.2, (43K),1h 35m
"68. I, Tonya",7.5, (255K),1h 59m
69. Cinderella Man,8.0, (206K),2h 24m
70. Rocky III,6.9, (222K),1h 39m
71. Kingpin,6.9, (95K),1h 54m
72. Bloodsport,6.8, (100K),1h 32m
73. Breaking Away,7.7, (27K),1h 41m
74. Hot Rod,6.7, (97K),1h 28m
75. Bend It Like Beckham,6.7, (120K),1h 52m
76. Space Jam,6.5, (224K),1h 28m
77. Rocky II,7.3, (243K),1h 59m
78. Rocky V,5.4, (157K),1h 44m
79. The Wrestler,7.9, (327K),1h 49m
80. The Boys in the Boat,7.0, (29K),2h 3m
81. Green Street Hooligans,7.4, (168K),1h 49m
82. Point Break,5.3, (68K),1h 54m
"83. McFarland, USA",7.4, (45K),2h 9m
85. Arthur the King,7.0, (36K),1h 47m
86. Surf's Up,6.7, (98K),1h 25m
87. Grand Prix,7.2, (12K),2h 56m
88. Children of Heaven,8.2, (87K),1h 29m
89. Speed Racer,6.1, (82K),2h 15m
90. Grand Prix of Europe,6.4, (189),1h 38m
91. The Hill,6.7, (8.8K),2h 6m
92. Young Woman and the Sea,7.5, (18K),2h 9m
93. Rudy,7.5, (72K),1h 54m
94. Rookie of the Year,6.1, (33K),1h 43m
95. Two for the Money,6.2, (52K),2h 2m
96. The Legend of Bagger Vance,6.7, (61K),2h 6m
97. Queen of the Ring,6.3, (2.3K),2h 9m
98. Driven,4.6, (44K),1h 56m
